"rok","pohlavi","vek_kod","vek_nazev","okres_lau_kod","okres_nazev","kraj_nuts_kod","kraj_nazev","pocet_vysetreni"
"2010","Z",66030000.0,"30–34 let","CZ0206","Melnik","CZ020","Stredocesky kraj",2684.0
"2010","Z",66030000.0,"30–34 let","CZ0207","Mlada Boleslav","CZ020","Stredocesky kraj",3951.0
"2010","Z",66030000.0,"30–34 let","CZ0208","Nymburk","CZ020","Stredocesky kraj",2777.0
"2010","Z",66030000.0,"30–34 let","CZ0209","Praha-vychod","CZ020","Stredocesky kraj",5388.0
"2010","Z",66030000.0,"30–34 let","CZ020A","Praha-zapad","CZ020","Stredocesky kraj",4291.0
"2010","Z",66030000.0,"30–34 let","CZ020B","Pribram","CZ020","Stredocesky kraj",2915.0
"2010","Z",66030000.0,"30–34 let","CZ020C","Rakovnik","CZ020","Stredocesky kraj",1444.0
"2010","Z",66030000.0,"30–34 let","CZ0311","Ceske Budejovice","CZ031","Jihocesky kraj",5374.0
"2010","Z",66030000.0,"30–34 let","CZ0312","Cesky Krumlov","CZ031","Jihocesky kraj",1523.0
"2010","Z",66030000.0,"30–34 let","CZ0313","Jindrichuv Hradec","CZ031","Jihocesky kraj",2196.0
"2010","Z",66030000.0,"30–34 let","CZ0314","Pisek","CZ031","Jihocesky kraj",1621.0
"2010","Z",66030000.0,"30–34 let","CZ0315","Prachatice","CZ031","Jihocesky kraj",1224.0
"2010","Z",66030000.0,"30–34 let","CZ0316","Strakonice","CZ031","Jihocesky kraj",1681.0
"2010","Z",66030000.0,"30–34 let","CZ0317","Tabor","CZ031","Jihocesky kraj",2934.0
"2010","Z",66030000.0,"30–34 let","CZ0321","Domazlice","CZ032","Plzensky kraj",1600.0
"2010","Z",66030000.0,"30–34 let","CZ0322","Klatovy","CZ032","Plzensky kraj",1858.0
"2010","Z",66030000.0,"30–34 let","CZ0323","Plzen-mesto","CZ032","Plzensky kraj",4758.0
"2010","Z",66030000.0,"30–34 let","CZ0324","Plzen-jih","CZ032","Plzensky kraj",1557.0
"2010","Z",66030000.0,"30–34 let","CZ0325","Plzen-sever","CZ032","Plzensky kraj",2170.0
